Time,Message
251848.538687,b'Frame Received\r\n'
251848.6359298,b'Frame Received\r\n'
251848.7380133,b'Frame Received\r\n'
251848.835907,b'Frame Received\r\n'
251848.9361087,b'Frame Received\r\n'
251849.0382232,b'Frame Received\r\n'
251849.1352596,b'Frame Received\r\n'
251849.2381662,b'Frame Received\r\n'
251849.3381661,b'Frame Received\r\n'
251849.4384824,b'Frame Received\r\n'
251849.5364331,b'Frame Received\r\n'
251849.6379062,b'Frame Received\r\n'
251849.7365395,b'Frame Received\r\n'
251849.8381452,b'Frame Received\r\n'
251849.9363538,b'Frame Received\r\n'
251850.0380917,b'Frame Received\r\n'
251850.1353554,b'Frame Received\r\n'
251850.2366006,b'Frame Received\r\n'
251850.3376005,b'Frame Received\r\n'
251850.4381971,b'Frame Received\r\n'
251850.538097,b'Frame Received\r\n'
251850.6358794,b'Frame Received\r\n'
251850.7381557,b'Frame Received\r\n'
251850.8366029,b'Frame Received\r\n'
251850.9382353,b'Frame Received\r\n'
251851.0380476,b'Frame Received\r\n'
251851.1352599,b'Frame Received\r\n'
251851.2376452,b'Frame Received\r\n'
251851.3379217,b'Frame Received\r\n'
251851.437993,b'Frame Received\r\n'
251851.535646,b'Frame Received\r\n'
251851.6381297,b'Frame Received\r\n'
251851.7363914,b'Frame Received\r\n'
251851.836483,b'Frame Received\r\n'
251851.9382023,b'Frame Received\r\n'
251852.0381606,b'Frame Received\r\n'
251852.1355555,b'Frame Received\r\n'
251852.2375789,b'Frame Received\r\n'
251852.3360461,b'Frame Received\r\n'
251852.436255,b'Frame Received\r\n'
251852.5381611,b'Frame Received\r\n'
251852.6373603,b'Frame Received\r\n'
251852.7364758,b'Frame Received\r\n'
251852.8372898,b'Frame Received\r\n'
251852.9380736,b'Frame Received\r\n'
251853.0382091,b'Frame Received\r\n'
251853.1353111,b'Frame Received\r\n'
251853.2370878,b'Frame Received\r\n'
251853.337781,b'Frame Received\r\n'
251853.4378803,b'Frame Received\r\n'
251853.5381292,b'Frame Received\r\n'
251853.6355342,b'Frame Received\r\n'
251853.7380202,b'Frame Received\r\n'
251853.8380013,b'Frame Received\r\n'
251853.9378596,b'Frame Received\r\n'
251854.0383124,b'Frame Received\r\n'
251854.1357787,b'Frame Received\r\n'
251854.2364089,b'Frame Received\r\n'
251854.335829,b'Frame Received\r\n'
251854.4371868,b'Frame Received\r\n'
251854.5362702,b'Frame Received\r\n'
251854.6378778,b'Frame Received\r\n'
251854.7385013,b'Frame Received\r\n'
251854.8380221,b'Frame Received\r\n'
251854.9382015,b'Frame Received\r\n'
251855.0382926,b'Frame Received\r\n'
251855.1360796,b'Frame Received\r\n'
251855.2379569,b'Frame Received\r\n'
251855.3381918,b'Frame Received\r\n'
251855.435945,b'Frame Received\r\n'
251855.538172,b'Frame Received\r\n'
251855.638252,b'Frame Received\r\n'
251855.7363387,b'Frame Received\r\n'
251855.8382098,b'Frame Received\r\n'
251855.9382257,b'Frame Received\r\n'
251856.0365244,b'Frame Received\r\n'
251856.1379031,b'Frame Received\r\n'
251856.2376448,b'Frame Received\r\n'
251856.3376914,b'Frame Received\r\n'
251856.435773,b'Frame Received\r\n'
251856.5379355,b'Frame Received\r\n'
251856.638022,b'Frame Received\r\n'
251856.7365262,b'Frame Received\r\n'
251856.8382976,b'Frame Received\r\n'
251856.9375905,b'Frame Received\r\n'
251857.0378576,b'Frame Received\r\n'
251857.1370743,b'Frame Received\r\n'
251857.237688,b'Frame Received\r\n'
251857.3364588,b'Frame Received\r\n'
251857.4354298,b'Frame Received\r\n'
251857.5381656,b'Frame Received\r\n'
251857.6380122,b'Frame Received\r\n'
251857.7368661,b'Frame Received\r\n'
251857.8356541,b'Frame Received\r\n'
251857.9379479,b'Frame Received\r\n'
251858.0379744,b'Frame Received\r\n'
251858.136296,b'Frame Received\r\n'
251858.2373792,b'Frame Received\r\n'
251858.3378102,b'Frame Received\r\n'
251858.437143,b'Frame Received\r\n'
251858.5379828,b'Frame Received\r\n'
251858.637957,b'Frame Received\r\n'
251858.7382316,b'Frame Received\r\n'
251858.8355747,b'Frame Received\r\n'
251858.9381624,b'Frame Received\r\n'
251859.0356725,b'Frame Received\r\n'
251859.1377932,b'Frame Received\r\n'
251859.2350426,b'Frame Received\r\n'
251859.3359505,b'Frame Received\r\n'
251859.4378417,b'Frame Received\r\n'
251859.5378652,b'Frame Received\r\n'
251859.6370698,b'Frame Received\r\n'
251859.7378713,b'Frame Received\r\n'
251859.8367455,b'Frame Received\r\n'
251859.9379739,b'Frame Received\r\n'
251860.0378816,b'Frame Received\r\n'
251860.1370743,b'Frame Received\r\n'
251860.2350907,b'Frame Received\r\n'
251860.3379996,b'Frame Received\r\n'
251860.437436,b'Frame Received\r\n'
251860.5376861,b'Frame Received\r\n'
251860.6382314,b'Frame Received\r\n'
251860.7376542,b'Frame Received\r\n'
251860.8378369,b'Frame Received\r\n'
251860.9373246,b'Frame Received\r\n'
251861.0378983,b'Frame Received\r\n'
